iter	Passed	Remaining
0	95	47649
1	134	33410
2	176	29301
3	221	27494
4	264	26148
5	317	26141
6	363	25588
7	412	25365
8	455	24827
9	498	24418
10	549	24423
11	592	24099
12	644	24160
13	693	24078
14	740	23956
15	784	23743
16	828	23535
17	879	23550
18	922	23364
19	967	23209
20	1009	23031
21	1053	22899
22	1097	22752
23	1144	22692
24	1186	22540
25	1229	22423
26	1272	22294
27	1315	22176
28	1358	22063
29	1401	21953
30	1445	21862
31	1490	21798
32	1541	21815
33	1589	21787
34	1640	21792
35	1652	21303
36	1696	21235
37	1740	21156
38	1782	21068
39	1824	20981
40	1872	20967
41	1916	20902
42	1959	20826
43	2005	20784
44	2049	20727
45	2091	20646
46	2134	20573
47	2176	20499
48	2219	20431
49	2263	20369
50	2306	20304
51	2349	20242
52	2391	20172
53	2435	20114
54	2486	20120
55	2541	20151
56	2595	20168
57	2638	20104
58	2682	20052
59	2725	19989
60	2770	19938
61	2816	19897
62	2873	19934
63	2921	19901
64	2965	19847
65	3009	19786
66	3050	19713
67	3094	19656
68	3137	19597
69	3179	19531
70	3222	19471
71	3265	19413
72	3309	19358
73	3353	19305
74	3395	19243
75	3438	19183
76	3482	19129
77	3535	19129
78	3582	19091
79	3626	19041
80	3672	18994
81	3715	18941
82	3761	18898
83	3765	18646
84	3807	18590
85	3854	18556
86	3898	18506
87	3943	18462
88	3985	18404
89	4028	18353
90	4073	18306
91	4117	18260
92	4160	18207
93	4206	18169
94	4250	18120
95	4296	18079
96	4338	18026
97	4381	17971
98	4424	17922
99	4468	17874
100	4518	17849
101	4563	17805
102	4609	17767
103	4654	17723
104	4697	17670
105	4743	17632
106	4802	17639
107	4852	17611
108	4899	17575
109	4947	17539
110	4991	17491
111	5043	17470
112	5094	17447
113	5144	17419
114	5191	17381
115	5240	17347
116	5288	17313
117	5332	17264
118	5376	17212
119	5418	17157
120	5461	17107
121	5511	17077
122	5557	17032
123	5600	16982
124	5650	16952
125	5693	16901
126	5737	16851
127	5780	16800
128	5823	16748
129	5873	16718
130	5919	16673
131	5961	16619
132	6003	16566
133	6047	16517
134	6095	16480
135	6139	16432
136	6182	16381
137	6226	16332
138	6269	16282
139	6311	16230
140	6360	16194
141	6406	16152
142	6451	16106
143	6497	16062
144	6544	16023
145	6588	15975
146	6632	15927
147	6678	15884
148	6721	15833
149	6764	15783
150	6807	15733
151	6855	15695
152	6898	15645
153	6944	15603
154	6986	15550
155	7031	15505
156	7088	15485
157	7133	15441
158	7176	15391
159	7225	15353
160	7267	15301
161	7314	15261
162	7359	15215
163	7402	15166
164	7448	15123
165	7494	15078
166	7541	15038
167	7585	14990
168	7629	14942
169	7675	14898
170	7719	14852
171	7764	14807
172	7806	14755
173	7855	14717
174	7900	14672
175	7944	14624
176	7988	14577
177	8032	14530
178	8075	14481
179	8119	14435
180	8164	14388
181	8207	14340
182	8255	14300
183	8300	14254
184	8347	14214
185	8395	14173
186	8444	14134
187	8488	14087
188	8536	14046
189	8581	14001
190	8625	13953
191	8670	13909
192	8713	13860
193	8758	13815
194	8801	13767
195	8852	13730
196	8898	13687
197	8942	13639
198	8985	13591
199	9029	13544
200	9074	13498
201	9118	13451
202	9162	13405
203	9206	13358
204	9252	13314
205	9302	13275
206	9352	13238
207	9399	13196
208	9444	13149
209	9489	13104
210	9538	13063
211	9587	13024
212	9636	12984
213	9684	12943
214	9729	12896
215	9771	12847
216	9816	12801
217	9862	12758
218	9905	12710
219	9958	12673
220	10003	12629
221	10047	12581
222	10090	12533
223	10134	12486
224	10179	12441
225	10223	12394
226	10266	12346
227	10309	12299
228	10354	12253
229	10397	12206
230	10444	12163
231	10493	12121
232	10539	12077
233	10581	12029
234	10625	11982
235	10670	11936
236	10717	11893
237	10762	11847
238	10809	11804
239	10857	11761
240	10900	11714
241	10948	11671
242	10991	11624
243	11038	11581
244	11082	11535
245	11126	11488
246	11172	11443
247	11218	11398
248	11262	11353
249	11307	11307
250	11352	11262
251	11396	11215
252	11444	11172
253	11492	11130
254	11537	11085
255	11586	11043
256	11637	11003
257	11681	10956
258	11728	10913
259	11771	10865
260	11818	10822
261	11871	10783
262	11918	10740
263	11963	10694
264	12007	10647
265	12051	10601
266	12096	10555
267	12140	10509
268	12184	10463
269	12227	10415
270	12270	10369
271	12317	10324
272	12361	10278
273	12406	10232
274	12452	10188
275	12502	10147
276	12552	10105
277	12596	10059
278	12644	10016
279	12690	9970
280	12737	9926
281	12782	9881
282	12830	9838
283	12873	9791
284	12918	9745
285	12962	9699
286	13006	9652
287	13051	9607
288	13097	9562
289	13142	9516
290	13188	9472
291	13237	9429
292	13281	9383
293	13327	9338
294	13376	9295
295	13427	9254
296	13479	9213
297	13529	9170
298	13574	9125
299	13622	9081
300	13670	9037
301	13717	8993
302	13766	8950
303	13815	8907
304	13867	8866
305	13919	8824
306	13972	8783
307	14018	8738
308	14063	8692
309	14109	8647
310	14155	8602
311	14200	8556
312	14247	8511
313	14292	8466
314	14347	8426
315	14394	8381
316	14439	8335
317	14488	8292
318	14544	8252
319	14601	8213
320	14651	8170
321	14696	8124
322	14748	8081
323	14794	8036
324	14844	7993
325	14890	7947
326	14940	7904
327	14984	7857
328	15030	7812
329	15076	7766
330	15123	7721
331	15169	7675
332	15213	7629
333	15262	7585
334	15309	7540
335	15354	7494
336	15401	7449
337	15448	7404
338	15501	7362
339	15548	7316
340	15597	7272
341	15644	7227
342	15693	7183
343	15759	7146
344	15804	7100
345	15853	7056
346	15900	7010
347	15946	6965
348	15993	6919
349	16040	6874
350	16084	6827
351	16129	6781
352	16173	6735
353	16229	6693
354	16273	6647
355	16322	6602
356	16371	6557
357	16422	6513
358	16471	6469
359	16519	6424
360	16566	6378
361	16614	6333
362	16661	6288
363	16706	6241
364	16751	6195
365	16798	6150
366	16851	6107
367	16897	6061
368	16942	6014
369	16987	5968
370	17034	5923
371	17079	5876
372	17123	5830
373	17168	5783
374	17213	5737
375	17259	5692
376	17306	5646
377	17353	5600
378	17398	5554
379	17447	5509
380	17498	5465
381	17543	5419
382	17591	5373
383	17639	5328
384	17686	5282
385	17731	5236
386	17779	5191
387	17831	5147
388	17879	5101
389	17928	5056
390	17973	5010
391	18018	4964
392	18064	4918
393	18111	4872
394	18156	4826
395	18201	4780
396	18250	4734
397	18297	4689
398	18344	4643
399	18394	4598
400	18441	4552
401	18491	4507
402	18538	4462
403	18595	4418
404	18657	4376
405	18711	4332
406	18762	4287
407	18813	4242
408	18864	4197
409	18910	4151
410	18960	4105
411	19009	4060
412	19057	4014
413	19104	3968
414	19153	3923
415	19201	3877
416	19248	3831
417	19295	3785
418	19340	3738
419	19389	3693
420	19435	3646
421	19485	3601
422	19531	3555
423	19577	3509
424	19625	3463
425	19670	3417
426	19724	3372
427	19770	3325
428	19820	3280
429	19866	3234
430	19911	3187
431	19961	3142
432	20006	3095
433	20051	3049
434	20097	3003
435	20143	2956
436	20188	2910
437	20232	2863
438	20277	2817
439	20328	2772
440	20373	2725
441	20417	2679
442	20464	2633
443	20511	2586
444	20557	2540
445	20603	2494
446	20650	2448
447	20695	2402
448	20739	2355
449	20790	2310
450	20840	2264
451	20888	2218
452	20934	2172
453	20978	2125
454	21025	2079
455	21072	2033
456	21121	1987
457	21169	1941
458	21214	1894
459	21258	1848
460	21313	1803
461	21360	1756
462	21408	1710
463	21455	1664
464	21506	1618
465	21551	1572
466	21597	1526
467	21644	1479
468	21691	1433
469	21736	1387
470	21780	1341
471	21829	1294
472	21876	1248
473	21926	1202
474	21973	1156
475	22027	1110
476	22075	1064
477	22119	1018
478	22166	971
479	22211	925
480	22257	879
481	22306	833
482	22351	786
483	22396	740
484	22443	694
485	22495	648
486	22540	601
487	22584	555
488	22628	509
489	22673	462
490	22720	416
491	22766	370
492	22817	323
493	22864	277
494	22914	231
495	22960	185
496	23012	138
497	23060	92
498	23106	46
499	23151	0
